46395,21090,35415,57330,19440,60674,40406,21919,104265,21555,56555,110205,116588,29074,34020,25594,76860,368122,61231,16807,46917
47426,21698,36202,58604,19872,62764,41826,22689,106582,22034,58057,112654,117187,35804,34776,25867,78568,369419,63549,17763,47711
48457,22306,36989,59878,20304,64854,43246,23459,106582,22513,59559,115103,117786,42534,35532,26140,80276,370716,65867,18719,48505
49488,22914,37776,61152,20736,66944,44666,24229,107065,22992,61061,117552,118385,49264,36288,26413,81984,372013,68185,19675,49299
50519,23522,38563,62426,21168,69034,46086,24999,107548,23471,62563,120001,118984,55994,37044,26686,83692,373310,70503,20632,50093
51550,24130,39350,63700,21600,71124,47506,25769,108031,23950,64065,122450,119583,62724,37800,26959,85400,374607,72821,22291,50887
52581,24738,40137,64974,22032,73214,48930,26539,108514,24429,65567,124899,120182,69454,38556,27232,87108,375904,75139,23950,51681
53612,25346,40924,66248,22464,75304,48872,27309,108997,24908,67069,127348,120781,76184,39312,27505,88816,377201,77457,25609,52475
54643,25954,41711,67522,22896,77394,48814,28079,109480,25387,68571,129797,121380,82914,40068,27778,90524,378498,79775,27268,53269
55674,26558,42498,68796,23328,79484,48756,28849,109963,25866,70073,132246,121979,89644,40069,28051,92232,379795,82093,28927,54063
56705,26803,43285,70070,23760,81574,48698,29619,110446,25853,71575,134695,122578,96374,40131,28324,93940,381092,84411,30586,54857
57736,27047,44072,71344,24192,83664,48640,30389,110929,25948,73077,137144,123177,97029,40193,28597,95648,382389,86729,32245,55651
58767,28527,44859,72618,24624,85754,48582,31159,111412,26043,74579,139593,123776,97684,40255,28870,97356,383686,89047,33904,56445
59798,30007,45646,73892,25056,87844,48524,31929,111895,26138,76081,142042,124375,98339,40317,29143,99064,384983,91365,35563,57239
60829,31487,46433,75166,25488,89934,48466,32699,112378,26233,77583,144491,124974,98994,40379,29416,100772,386280,93683,37222,58033
61860,32967,47220,76440,25920,92024,48408,33469,112867,26328,79085,146940,125573,99649,40441,29689,102480,387577,96001,38881,58827
62891,34447,48007,77714,26352,94114,48350,34239,112867,26423,80587,149389,126172,100304,40503,29962,104188,388874,98319,40540,59621
63922,35927,48794,78988,26784,96204,48292,35009,112867,26518,82089,151838,126771,100959,40565,30235,105896,390171,100637,42199,60415
64953,37407,49581,80262,27216,98294,48234,35779,113923,26613,82101,154287,127370,101614,40627,83976,107604,391468,102955,43858,61209
65984,38887,50368,81536,27648,100384,48176,36549,114979,26708,82101,156736,127969,102269,40689,83976,109312,392765,105273,45517,62003
67015,40367,51155,82810,28080,102465,48118,37319,116035,27333,82101,159185,128568,102924,40751,83976,111020,394062,107591,47176,62797
68046,41847,51942,84084,28512,103963,48060,38089,117091,27958,82101,161634,129167,103579,40813,83976,112728,395359,109909,48835,63591
69077,43327,52729,85358,28944,105461,48002,38859,118147,28583,82101,164083,129766,104234,40875,83976,114436,396656,112227,50494,64385
70108,44807,53516,86632,29376,106959,47944,39629,119203,29208,82101,166532,130365,104889,40937,83976,116144,397953,114545,52153,65188
71139,46287,54303,87906,29808,108457,47886,40399,120259,29833,83122,168981,130964,105544,40999,84910,117852,399250,116863,53812,65974
72170,47767,55090,89180,30240,109955,47828,41169,121315,30458,84143,171430,131563,106199,41061,85844,119560,400547,119165,55472,66760
73201,49247,55877,90454,30672,111453,47777,41939,122371,31090,85164,173879,132162,106854,41123,86778,121268,401844,120168,56827,67546
74232,50727,56664,91728,31104,112951,48239,42709,123427,32781,86185,176328,132761,107509,41185,87712,122976,403141,121171,58182,68332
75263,52207,57451,93002,31536,114449,48701,43479,124483,34472,87206,178777,133360,108164,41247,88646,122984,404426,122174,59537,69118
76294,53687,58238,94276,31968,115947,49163,44249,125539,36163,88227,181226,133959,108819,41304,89580,123071,419228,123177,60892,69904
77325,55167,59025,95550,32400,117445,49625,45019,126595,37854,89248,183675,134558,109474,46681,90514,123158,434029,124180,62247,70690
78356,56647,59812,96824,32832,118943,50087,45789,127651,39545,90269,186124,135157,110129,52058,91448,123245,434343,125183,63602,71476
79387,58127,60599,98098,33264,120441,50549,46547,128707,41236,91290,188573,135756,110784,57435,92382,123332,434657,126186,64957,72262
80418,59607,60626,99372,33696,121939,51011,46778,129763,42927,92311,191022,136355,111441,62812,93316,123419,434971,127189,66312,73048
81449,61087,60758,100646,33718,123437,51473,47009,130819,44618,93332,193471,136954,112038,68189,94250,123506,435285,128192,67667,73834
82480,62567,60890,101920,43085,124935,51935,47240,131875,46309,94354,195920,137553,112635,73566,95184,123593,435599,129195,69022,74620
83511,64047,61022,103194,52452,126433,52397,47471,132936,48000,96067,198369,138152,113232,78943,96118,123678,435913,130198,70377,75406
84542,65527,61154,104468,61819,127931,52859,47702,133367,49691,97780,200818,138751,113829,84320,97052,124301,436227,131201,71732,76197
85573,67007,61286,105742,71186,129429,53321,47933,133798,51382,99493,203267,139350,114426,89697,97986,124924,437681,132204,73087,76871
86604,68487,61418,107016,80553,130927,53783,48164,134229,53073,101206,205716,139949,115023,95074,98920,125547,439135,133207,74442,77545
87635,69967,61550,108290,89920,132425,54245,48395,134660,54757,102919,208165,140548,115620,100449,99854,126170,440589,134210,75797,78219
88666,71447,61682,109564,99287,133923,54707,48626,135091,56479,104632,210614,141147,116217,100569,100788,126793,442043,135213,77152,78893
89697,72927,61682,110838,108657,135421,55169,48857,135522,58201,106345,213063,141746,116814,100689,101722,127416,443497,136216,78507,79567
90728,74407,61682,112112,109273,136919,55631,49089,135953,59923,108058,215512,142345,117411,100809,102656,128039,444951,137219,79862,80241
91759,75887,61682,113386,109889,138417,56093,49141,136384,61645,109771,217961,142944,118008,100929,103590,128662,446405,138222,81217,80915
92790,77367,61682,114660,110505,139915,56555,49193,136815,63367,111484,220410,143543,118605,101049,104524,129285,447859,139225,82572,82226
